query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0679,0.1795,0.2459,0.0679,0.0469,0.0376,4786
+Eyeglasses,0.0733,0.2127,0.3065,0.0733,0.0523,0.0432,2196
-Heavy_Makeup,0.0306,0.1001,0.1588,0.0306,0.0226,0.0195,4087
+Male,0.0169,0.0520,0.0897,0.0169,0.0124,0.0118,1595
-Young,0.0092,0.0293,0.0504,0.0092,0.0071,0.0069,5355
+Blond_Hair,0.0479,0.1470,0.2187,0.0479,0.0393,0.0340,5469
+Mustache,0.0963,0.2259,0.2990,0.0963,0.0591,0.0465,301
"+Eyeglasses, +Smiling",0.0327,0.1095,0.1814,0.0327,0.0242,0.0209,612
"+Black_Hair, -Wavy_Hair",0.0482,0.1614,0.2582,0.0482,0.0372,0.0344,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0257,0.0394,0.0034,0.0051,0.0046,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0253,0.1013,0.1519,0.0253,0.0203,0.0177,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0588,0.0882,0.1471,0.0588,0.0176,0.0147,34
MEAN,0.0393,0.1102,0.1651,0.0393,0.0265,0.0224,
