query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0654,0.1791,0.2399,0.0654,0.0468,0.0367,4786
+Eyeglasses,0.0597,0.1817,0.2719,0.0597,0.0437,0.0374,2196
-Heavy_Makeup,0.0289,0.0976,0.1532,0.0289,0.0221,0.0190,4087
+Male,0.0056,0.0144,0.0201,0.0056,0.0040,0.0028,1595
-Young,0.0084,0.0273,0.0472,0.0084,0.0066,0.0063,5355
+Blond_Hair,0.0485,0.1410,0.2094,0.0485,0.0376,0.0323,5469
+Mustache,0.0963,0.2193,0.3056,0.0963,0.0591,0.0468,301
"+Eyeglasses, +Smiling",0.0392,0.1373,0.2304,0.0392,0.0314,0.0281,612
"+Black_Hair, -Wavy_Hair",0.0544,0.1788,0.2659,0.0544,0.0418,0.0365,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0257,0.0411,0.0034,0.0055,0.0045,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0506,0.2532,0.3797,0.0506,0.0633,0.0570,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0294,0.1176,0.0294,0.0059,0.0118,34
MEAN,0.0377,0.1142,0.1755,0.0377,0.0283,0.0246,
