query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0629,0.1718,0.2476,0.0629,0.0450,0.0374,4786
+Eyeglasses,0.0182,0.0669,0.1152,0.0182,0.0157,0.0148,2196
-Heavy_Makeup,0.0269,0.0866,0.1380,0.0269,0.0196,0.0175,4087
+Male,0.0069,0.0132,0.0194,0.0069,0.0036,0.0029,1595
-Young,0.0071,0.0276,0.0525,0.0071,0.0066,0.0066,5355
+Blond_Hair,0.0265,0.0867,0.1452,0.0265,0.0221,0.0209,5469
+Mustache,0.0797,0.1761,0.2193,0.0797,0.0518,0.0349,301
"+Eyeglasses, +Smiling",0.0033,0.0163,0.0408,0.0033,0.0033,0.0051,612
"+Black_Hair, -Wavy_Hair",0.0502,0.1641,0.2453,0.0502,0.0379,0.0323,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0205,0.0325,0.0034,0.0045,0.0036,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0380,0.0633,0.0000,0.0076,0.0063,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0882,0.0294,0.0118,0.0088,34
MEAN,0.0242,0.0713,0.1083,0.0242,0.0177,0.0147,
