query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0652,0.1703,0.2486,0.0652,0.0445,0.0376,4786
+Eyeglasses,0.0182,0.0683,0.1230,0.0182,0.0159,0.0159,2196
-Heavy_Makeup,0.0267,0.0881,0.1373,0.0267,0.0198,0.0174,4087
+Male,0.0069,0.0163,0.0270,0.0069,0.0043,0.0037,1595
-Young,0.0075,0.0282,0.0553,0.0075,0.0067,0.0069,5355
+Blond_Hair,0.0267,0.0881,0.1445,0.0267,0.0222,0.0208,5469
+Mustache,0.0698,0.1661,0.2259,0.0698,0.0498,0.0362,301
"+Eyeglasses, +Smiling",0.0049,0.0523,0.0735,0.0049,0.0111,0.0085,612
"+Black_Hair, -Wavy_Hair",0.0264,0.1030,0.1734,0.0264,0.0236,0.0221,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0051,0.0103,0.0171,0.0051,0.0021,0.0017,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0506,0.0506,0.0000,0.0101,0.0051,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0588,0.0882,0.0882,0.0588,0.0176,0.0088,34
MEAN,0.0243,0.0715,0.1050,0.0243,0.0175,0.0142,
