query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0038,0.0142,0.0297,0.0038,0.0030,0.0032,4786
+Eyeglasses,0.0032,0.0096,0.0187,0.0032,0.0019,0.0020,2196
-Heavy_Makeup,0.0034,0.0122,0.0257,0.0034,0.0026,0.0027,4087
+Male,0.0038,0.0188,0.0408,0.0038,0.0041,0.0047,1595
-Young,0.0011,0.0114,0.0254,0.0011,0.0024,0.0027,5355
+Blond_Hair,0.0020,0.0093,0.0177,0.0020,0.0019,0.0020,5469
+Mustache,0.0000,0.0000,0.0100,0.0000,0.0000,0.0010,301
"+Eyeglasses, +Smiling",0.0016,0.0065,0.0114,0.0016,0.0013,0.0011,612
"+Black_Hair, -Wavy_Hair",0.0016,0.0082,0.0128,0.0016,0.0016,0.0014,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0017,0.0068,0.0103,0.0017,0.0014,0.0010,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0017,0.0075,0.0156,0.0017,0.0016,0.0017,
