query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0155,0.0518,0.0813,0.0155,0.0113,0.0099,4786
+Eyeglasses,0.0000,0.0041,0.0055,0.0000,0.0008,0.0006,2196
-Heavy_Makeup,0.0100,0.0372,0.0592,0.0100,0.0078,0.0066,4087
+Male,0.0025,0.0075,0.0107,0.0025,0.0018,0.0013,1595
-Young,0.0050,0.0213,0.0357,0.0050,0.0046,0.0041,5355
+Blond_Hair,0.0073,0.0223,0.0346,0.0073,0.0053,0.0048,5469
+Mustache,0.0365,0.0731,0.0997,0.0365,0.0193,0.0136,301
"+Eyeglasses, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,612
"+Black_Hair, -Wavy_Hair",0.0031,0.0237,0.0373,0.0031,0.0051,0.0047,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0068,0.0137,0.0034,0.0014,0.0014,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0294,0.0000,0.0000,0.0029,34
MEAN,0.0064,0.0191,0.0313,0.0064,0.0044,0.0038,
