query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0146,0.0485,0.0781,0.0146,0.0107,0.0095,4786
+Eyeglasses,0.0000,0.0059,0.0096,0.0000,0.0012,0.0011,2196
-Heavy_Makeup,0.0108,0.0423,0.0683,0.0108,0.0092,0.0077,4087
+Male,0.0025,0.0138,0.0213,0.0025,0.0033,0.0024,1595
-Young,0.0067,0.0218,0.0401,0.0067,0.0048,0.0046,5355
+Blond_Hair,0.0088,0.0280,0.0475,0.0088,0.0068,0.0062,5469
+Mustache,0.0399,0.0731,0.0930,0.0399,0.0193,0.0143,301
"+Eyeglasses, +Smiling",0.0000,0.0016,0.0033,0.0000,0.0003,0.0003,612
"+Black_Hair, -Wavy_Hair",0.0039,0.0233,0.0381,0.0039,0.0054,0.0050,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0000,0.0068,0.0154,0.0000,0.0014,0.0017,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0127,0.0000,0.0000,0.0013,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0294,0.0294,0.0000,0.0059,0.0029,34
MEAN,0.0067,0.0227,0.0351,0.0067,0.0052,0.0044,
