query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0336,0.1057,0.1532,0.0336,0.0264,0.0216,4786
+Eyeglasses,0.0046,0.0091,0.0200,0.0046,0.0021,0.0026,2196
-Heavy_Makeup,0.0225,0.0820,0.1277,0.0225,0.0182,0.0159,4087
+Male,0.0038,0.0088,0.0144,0.0038,0.0025,0.0019,1595
-Young,0.0077,0.0243,0.0469,0.0077,0.0058,0.0060,5355
+Blond_Hair,0.0181,0.0428,0.0631,0.0181,0.0117,0.0097,5469
+Mustache,0.0432,0.1296,0.1661,0.0432,0.0339,0.0252,301
"+Eyeglasses, +Smiling",0.0016,0.0033,0.0049,0.0016,0.0007,0.0005,612
"+Black_Hair, -Wavy_Hair",0.0093,0.0373,0.0564,0.0093,0.0086,0.0072,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0000,0.0103,0.0223,0.0000,0.0021,0.0022,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0882,0.0294,0.0118,0.0088,34
MEAN,0.0134,0.0394,0.0587,0.0134,0.0095,0.0078,
