query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0198,0.0591,0.0894,0.0198,0.0132,0.0109,4786
+Eyeglasses,0.0041,0.0205,0.0392,0.0041,0.0047,0.0046,2196
-Heavy_Makeup,0.0230,0.0812,0.1270,0.0230,0.0181,0.0157,4087
+Male,0.0025,0.0125,0.0226,0.0025,0.0034,0.0029,1595
-Young,0.0075,0.0241,0.0476,0.0075,0.0058,0.0061,5355
+Blond_Hair,0.0124,0.0378,0.0572,0.0124,0.0096,0.0079,5469
+Mustache,0.0365,0.0963,0.1362,0.0365,0.0252,0.0203,301
"+Eyeglasses, +Smiling",0.0000,0.0065,0.0098,0.0000,0.0013,0.0010,612
"+Black_Hair, -Wavy_Hair",0.0078,0.0358,0.0568,0.0078,0.0074,0.0063,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0017,0.0086,0.0137,0.0017,0.0017,0.0014,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0294,0.0294,0.0000,0.0059,0.0029,34
MEAN,0.0089,0.0317,0.0484,0.0089,0.0074,0.0061,
