query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0244,0.0792,0.1199,0.0244,0.0193,0.0162,4786
+Eyeglasses,0.0046,0.0159,0.0305,0.0046,0.0034,0.0035,2196
-Heavy_Makeup,0.0240,0.0837,0.1292,0.0240,0.0186,0.0158,4087
+Male,0.0056,0.0125,0.0201,0.0056,0.0034,0.0028,1595
-Young,0.0077,0.0237,0.0472,0.0077,0.0056,0.0061,5355
+Blond_Hair,0.0165,0.0453,0.0677,0.0165,0.0117,0.0098,5469
+Mustache,0.0399,0.1395,0.1694,0.0399,0.0359,0.0266,301
"+Eyeglasses, +Smiling",0.0016,0.0016,0.0033,0.0016,0.0003,0.0003,612
"+Black_Hair, -Wavy_Hair",0.0089,0.0365,0.0638,0.0089,0.0082,0.0080,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0000,0.0120,0.0223,0.0000,0.0024,0.0024,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0588,0.0882,0.0000,0.0118,0.0088,34
MEAN,0.0102,0.0391,0.0586,0.0102,0.0093,0.0077,
