query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0136,0.0435,0.0683,0.0136,0.0097,0.0084,4786
+Eyeglasses,0.0009,0.0082,0.0182,0.0009,0.0018,0.0021,2196
-Heavy_Makeup,0.0000,0.0010,0.0010,0.0000,0.0002,0.0001,4087
+Male,0.0044,0.0125,0.0188,0.0044,0.0029,0.0025,1595
-Young,0.0000,0.0004,0.0004,0.0000,0.0001,0.0000,5355
+Blond_Hair,0.0113,0.0307,0.0543,0.0113,0.0077,0.0072,5469
+Mustache,0.0299,0.0731,0.0930,0.0299,0.0186,0.0133,301
"+Eyeglasses, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,612
"+Black_Hair, -Wavy_Hair",0.0054,0.0260,0.0435,0.0054,0.0056,0.0051,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0103,0.0154,0.0034,0.0021,0.0015,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0127,0.0253,0.0000,0.0025,0.0025,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0053,0.0168,0.0260,0.0053,0.0039,0.0033,
