query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0244,0.0792,0.1199,0.0244,0.0193,0.0162,4786
+Eyeglasses,0.0046,0.0159,0.0305,0.0046,0.0034,0.0035,2196
-Heavy_Makeup,0.0230,0.0837,0.1280,0.0230,0.0186,0.0156,4087
+Male,0.0056,0.0125,0.0201,0.0056,0.0034,0.0028,1595
-Young,0.0075,0.0237,0.0463,0.0075,0.0056,0.0060,5355
+Blond_Hair,0.0165,0.0453,0.0677,0.0165,0.0117,0.0098,5469
+Mustache,0.0399,0.1395,0.1694,0.0399,0.0359,0.0266,301
"+Eyeglasses, +Smiling",0.0000,0.0016,0.0016,0.0000,0.0003,0.0002,612
"+Black_Hair, -Wavy_Hair",0.0089,0.0365,0.0630,0.0089,0.0082,0.0080,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0000,0.0103,0.0223,0.0000,0.0021,0.0024,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0294,0.0000,0.0000,0.0029,34
MEAN,0.0100,0.0345,0.0537,0.0100,0.0084,0.0072,
