query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0547,0.1582,0.2321,0.0547,0.0414,0.0350,4786
+Eyeglasses,0.0114,0.0597,0.1084,0.0114,0.0138,0.0144,2196
-Heavy_Makeup,0.0274,0.0935,0.1441,0.0274,0.0210,0.0181,4087
+Male,0.0169,0.0401,0.0840,0.0169,0.0105,0.0124,1595
-Young,0.0082,0.0261,0.0519,0.0082,0.0062,0.0066,5355
+Blond_Hair,0.0243,0.0854,0.1357,0.0243,0.0218,0.0198,5469
+Mustache,0.0698,0.1595,0.2060,0.0698,0.0445,0.0346,301
"+Eyeglasses, +Smiling",0.0033,0.0196,0.0458,0.0033,0.0039,0.0054,612
"+Black_Hair, -Wavy_Hair",0.0132,0.0564,0.1046,0.0132,0.0131,0.0134,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0154,0.0257,0.0034,0.0031,0.0026,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0588,0.0882,0.0882,0.0588,0.0176,0.0088,34
MEAN,0.0224,0.0617,0.0943,0.0224,0.0152,0.0132,
