query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0520,0.1517,0.2227,0.0520,0.0393,0.0335,4786
+Eyeglasses,0.0082,0.0392,0.0738,0.0082,0.0092,0.0099,2196
-Heavy_Makeup,0.0279,0.0927,0.1458,0.0279,0.0211,0.0182,4087
+Male,0.0094,0.0207,0.0326,0.0094,0.0054,0.0048,1595
-Young,0.0075,0.0245,0.0446,0.0075,0.0058,0.0059,5355
+Blond_Hair,0.0196,0.0625,0.1011,0.0196,0.0163,0.0152,5469
+Mustache,0.0731,0.1561,0.2027,0.0731,0.0425,0.0339,301
"+Eyeglasses, +Smiling",0.0016,0.0147,0.0261,0.0016,0.0029,0.0029,612
"+Black_Hair, -Wavy_Hair",0.0101,0.0552,0.0956,0.0101,0.0130,0.0124,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0017,0.0103,0.0137,0.0017,0.0021,0.0014,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0588,0.0882,0.0882,0.0588,0.0176,0.0088,34
MEAN,0.0208,0.0551,0.0805,0.0208,0.0135,0.0113,
