query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0562,0.1638,0.2380,0.0562,0.0427,0.0359,4786
+Eyeglasses,0.0196,0.0829,0.1293,0.0196,0.0188,0.0167,2196
-Heavy_Makeup,0.0191,0.0636,0.0996,0.0191,0.0140,0.0117,4087
+Male,0.0276,0.0915,0.1586,0.0276,0.0241,0.0230,1595
-Young,0.0050,0.0192,0.0297,0.0050,0.0046,0.0041,5355
+Blond_Hair,0.0329,0.1059,0.1690,0.0329,0.0267,0.0248,5469
+Mustache,0.0731,0.1628,0.2193,0.0731,0.0439,0.0349,301
"+Eyeglasses, +Smiling",0.0033,0.0310,0.0670,0.0033,0.0062,0.0077,612
"+Black_Hair, -Wavy_Hair",0.0078,0.0369,0.0653,0.0078,0.0084,0.0080,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0137,0.0342,0.0034,0.0027,0.0038,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0127,0.0380,0.0633,0.0127,0.0076,0.0063,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0882,0.0882,0.0000,0.0235,0.0118,34
MEAN,0.0200,0.0690,0.1047,0.0200,0.0172,0.0145,
