query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0694,0.1759,0.2472,0.0694,0.0470,0.0382,4786
+Eyeglasses,0.0756,0.2095,0.3151,0.0756,0.0513,0.0437,2196
-Heavy_Makeup,0.0242,0.0847,0.1326,0.0242,0.0189,0.0163,4087
+Male,0.0150,0.0533,0.0859,0.0150,0.0122,0.0110,1595
-Young,0.0077,0.0246,0.0471,0.0077,0.0059,0.0060,5355
+Blond_Hair,0.0477,0.1430,0.2134,0.0477,0.0383,0.0332,5469
+Mustache,0.0864,0.1993,0.2857,0.0864,0.0532,0.0439,301
"+Eyeglasses, +Smiling",0.0278,0.1275,0.2042,0.0278,0.0291,0.0253,612
"+Black_Hair, -Wavy_Hair",0.0288,0.1233,0.1991,0.0288,0.0271,0.0246,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0086,0.0171,0.0240,0.0086,0.0038,0.0026,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0759,0.2658,0.3924,0.0759,0.0658,0.0608,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0588,0.0882,0.0000,0.0118,0.0088,34
MEAN,0.0359,0.1141,0.1719,0.0359,0.0280,0.0242,
