query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0671,0.1651,0.2344,0.0671,0.0433,0.0358,4786
+Eyeglasses,0.0232,0.0806,0.1371,0.0232,0.0190,0.0177,2196
-Heavy_Makeup,0.0245,0.0825,0.1299,0.0245,0.0184,0.0159,4087
+Male,0.0094,0.0257,0.0451,0.0094,0.0063,0.0060,1595
-Young,0.0077,0.0237,0.0474,0.0077,0.0057,0.0060,5355
+Blond_Hair,0.0265,0.0920,0.1375,0.0265,0.0233,0.0201,5469
+Mustache,0.0731,0.1528,0.2126,0.0731,0.0445,0.0359,301
"+Eyeglasses, +Smiling",0.0049,0.0212,0.0261,0.0049,0.0042,0.0029,612
"+Black_Hair, -Wavy_Hair",0.0233,0.0910,0.1563,0.0233,0.0211,0.0199,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0017,0.0086,0.0137,0.0017,0.0017,0.0014,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0253,0.1266,0.0000,0.0051,0.0127,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0588,0.0882,0.0882,0.0588,0.0176,0.0088,34
MEAN,0.0246,0.0659,0.1042,0.0246,0.0162,0.0141,
