query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0731,0.1874,0.2689,0.0731,0.0494,0.0406,4786
+Eyeglasses,0.1075,0.3174,0.4522,0.1075,0.0871,0.0757,2196
-Heavy_Makeup,0.0120,0.0448,0.0705,0.0120,0.0096,0.0084,4087
+Male,0.0545,0.1831,0.2646,0.0545,0.0512,0.0482,1595
-Young,0.0067,0.0271,0.0463,0.0067,0.0063,0.0059,5355
+Blond_Hair,0.0448,0.1571,0.2492,0.0448,0.0402,0.0371,5469
+Mustache,0.0797,0.2060,0.2724,0.0797,0.0565,0.0435,301
"+Eyeglasses, +Smiling",0.0637,0.2108,0.3284,0.0637,0.0507,0.0443,612
"+Black_Hair, -Wavy_Hair",0.0292,0.1244,0.2030,0.0292,0.0280,0.0262,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0086,0.0240,0.0034,0.0017,0.0024,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.2278,0.4937,0.7595,0.2278,0.1671,0.1506,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0882,0.0882,0.0294,0.0176,0.0088,34
MEAN,0.0563,0.1576,0.2329,0.0563,0.0435,0.0378,
