query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0025,0.0146,0.0309,0.0025,0.0034,0.0040,4786
+Eyeglasses,0.0005,0.0032,0.0068,0.0005,0.0007,0.0009,2196
-Heavy_Makeup,0.0032,0.0100,0.0184,0.0032,0.0022,0.0023,4087
+Male,0.0000,0.0006,0.0006,0.0000,0.0001,0.0001,1595
-Young,0.0260,0.0904,0.1518,0.0260,0.0224,0.0207,5355
+Blond_Hair,0.0005,0.0027,0.0049,0.0005,0.0007,0.0007,5469
+Mustache,0.0199,0.0365,0.0532,0.0199,0.0086,0.0070,301
"+Eyeglasses, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,612
"+Black_Hair, -Wavy_Hair",0.0121,0.0533,0.0793,0.0121,0.0121,0.0105,2572
"-Male, -Mustache",0.0000,0.0741,0.1111,0.0000,0.0148,0.0111,27
"+Chubby, -Young",0.0034,0.0171,0.0308,0.0034,0.0034,0.0031,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0052,0.0233,0.0375,0.0052,0.0053,0.0046,
