query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0606,0.1619,0.2361,0.0606,0.0407,0.0341,4786
+Eyeglasses,0.0965,0.2750,0.3962,0.0965,0.0731,0.0634,2196
-Heavy_Makeup,0.0210,0.0822,0.1253,0.0210,0.0183,0.0154,4087
+Male,0.0213,0.0702,0.1191,0.0213,0.0178,0.0193,1595
-Young,0.0073,0.0233,0.0456,0.0073,0.0055,0.0058,5355
+Blond_Hair,0.0406,0.1415,0.2255,0.0406,0.0352,0.0323,5469
+Mustache,0.0897,0.2226,0.2791,0.0897,0.0591,0.0445,301
"+Eyeglasses, +Smiling",0.0049,0.0310,0.0621,0.0049,0.0062,0.0064,612
"+Black_Hair, -Wavy_Hair",0.0315,0.1326,0.2290,0.0315,0.0314,0.0294,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0051,0.0171,0.0360,0.0051,0.0034,0.0038,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.2025,0.4937,0.7342,0.2025,0.1392,0.1241,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0882,0.0294,0.0118,0.0118,34
MEAN,0.0470,0.1315,0.1982,0.0470,0.0340,0.0300,
