query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0422,0.1362,0.2039,0.0422,0.0330,0.0283,4786
+Eyeglasses,0.0496,0.1794,0.2860,0.0496,0.0482,0.0424,2196
-Heavy_Makeup,0.0213,0.0756,0.1189,0.0213,0.0167,0.0143,4087
+Male,0.0113,0.0389,0.0683,0.0113,0.0090,0.0097,1595
-Young,0.0071,0.0230,0.0448,0.0071,0.0055,0.0057,5355
+Blond_Hair,0.0298,0.1011,0.1686,0.0298,0.0247,0.0237,5469
+Mustache,0.1130,0.2292,0.3123,0.1130,0.0618,0.0472,301
"+Eyeglasses, +Smiling",0.0000,0.0098,0.0131,0.0000,0.0020,0.0013,612
"+Black_Hair, -Wavy_Hair",0.0369,0.1396,0.2360,0.0369,0.0316,0.0312,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0051,0.0462,0.0719,0.0051,0.0099,0.0084,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.1519,0.4051,0.5063,0.1519,0.1114,0.0797,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0588,0.0294,0.0118,0.0059,34
MEAN,0.0383,0.1110,0.1607,0.0383,0.0281,0.0229,
