query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0654,0.1759,0.2447,0.0654,0.0468,0.0391,4786
+Eyeglasses,0.0487,0.1639,0.2450,0.0487,0.0399,0.0344,2196
-Heavy_Makeup,0.0281,0.1013,0.1546,0.0281,0.0230,0.0195,4087
+Male,0.0107,0.0401,0.0702,0.0107,0.0104,0.0103,1595
-Young,0.0084,0.0304,0.0553,0.0084,0.0072,0.0071,5355
+Blond_Hair,0.0455,0.1536,0.2350,0.0455,0.0403,0.0365,5469
+Mustache,0.0565,0.1728,0.2359,0.0565,0.0465,0.0365,301
"+Eyeglasses, +Smiling",0.0212,0.1160,0.1830,0.0212,0.0261,0.0240,612
"+Black_Hair, -Wavy_Hair",0.0303,0.1093,0.1847,0.0303,0.0261,0.0245,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0068,0.0103,0.0154,0.0068,0.0021,0.0017,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.1013,0.3291,0.4810,0.1013,0.0785,0.0747,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0882,0.0294,0.0118,0.0088,34
MEAN,0.0348,0.1124,0.1687,0.0348,0.0276,0.0244,
