query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0694,0.1759,0.2472,0.0694,0.0470,0.0382,4786
+Eyeglasses,0.0756,0.2095,0.3151,0.0756,0.0513,0.0437,2196
-Heavy_Makeup,0.0230,0.0837,0.1302,0.0230,0.0188,0.0162,4087
+Male,0.0150,0.0533,0.0859,0.0150,0.0122,0.0110,1595
-Young,0.0097,0.0250,0.0467,0.0097,0.0059,0.0061,5355
+Blond_Hair,0.0477,0.1430,0.2134,0.0477,0.0383,0.0332,5469
+Mustache,0.0864,0.1993,0.2857,0.0864,0.0532,0.0439,301
"+Eyeglasses, +Smiling",0.0278,0.1275,0.2042,0.0278,0.0291,0.0253,612
"+Black_Hair, -Wavy_Hair",0.0214,0.0999,0.1827,0.0214,0.0221,0.0225,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0051,0.0137,0.0205,0.0051,0.0027,0.0022,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0886,0.2278,0.3291,0.0886,0.0506,0.0443,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0588,0.0588,0.0294,0.0118,0.0059,34
MEAN,0.0384,0.1090,0.1630,0.0384,0.0264,0.0225,
