query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0702,0.1975,0.2825,0.0702,0.0518,0.0445,4786
+Eyeglasses,0.0660,0.1926,0.2791,0.0660,0.0472,0.0391,2196
-Heavy_Makeup,0.0186,0.0639,0.1001,0.0186,0.0141,0.0117,4087
+Male,0.0627,0.2132,0.3172,0.0627,0.0629,0.0639,1595
-Young,0.0054,0.0198,0.0316,0.0054,0.0048,0.0042,5355
+Blond_Hair,0.0485,0.1726,0.2768,0.0485,0.0432,0.0405,5469
+Mustache,0.0664,0.2060,0.2724,0.0664,0.0551,0.0442,301
"+Eyeglasses, +Smiling",0.0327,0.0817,0.1275,0.0327,0.0170,0.0141,612
"+Black_Hair, -Wavy_Hair",0.0179,0.0824,0.1396,0.0179,0.0184,0.0170,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0188,0.0342,0.0034,0.0038,0.0036,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0127,0.1013,0.2278,0.0127,0.0203,0.0253,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0311,0.1038,0.1607,0.0311,0.0260,0.0237,
