query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0679,0.1780,0.2466,0.0679,0.0473,0.0385,4786
+Eyeglasses,0.0760,0.2022,0.3124,0.0760,0.0505,0.0440,2196
-Heavy_Makeup,0.0179,0.0445,0.0710,0.0179,0.0102,0.0088,4087
+Male,0.0245,0.0752,0.1216,0.0245,0.0192,0.0172,1595
-Young,0.0097,0.0428,0.0771,0.0097,0.0096,0.0093,5355
+Blond_Hair,0.0463,0.1499,0.2220,0.0463,0.0398,0.0344,5469
+Mustache,0.0864,0.2226,0.2924,0.0864,0.0598,0.0452,301
"+Eyeglasses, +Smiling",0.0294,0.1324,0.2222,0.0294,0.0288,0.0261,612
"+Black_Hair, -Wavy_Hair",0.0435,0.1353,0.2146,0.0435,0.0324,0.0281,2572
"-Male, -Mustache",0.0000,0.0000,0.0370,0.0000,0.0000,0.0037,27
"+Chubby, -Young",0.0000,0.0068,0.0240,0.0000,0.0014,0.0024,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.1519,0.4430,0.5696,0.1519,0.1165,0.0949,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0426,0.1256,0.1854,0.0426,0.0320,0.0271,
